triad,model,T,C_dev,quadrant
b2_km_v01,km,0.0,0.0,FAILS_GOLDEN
b2_km_v02,km,0.0,0.0,FAILS_GOLDEN
b2_km_v03,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_drv02,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_drv03,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_drv05,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_sb02,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_sb03,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_sb04,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_seq02,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_seq03,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_seq04,km,0.0,0.0,FAILS_GOLDEN
b2_km_w2_seq05,km,0.0,0.0,FAILS_GOLDEN
b2_pp_v01,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_v02,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_v03,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_drv02,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_drv03,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_drv04,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_drv05,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_sb02,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_sb03,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_seq02,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_seq03,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_seq04,pp,0.0,0.0,FAILS_GOLDEN
b2_pp_w2_seq05,pp,0.0,0.0,FAILS_GOLDEN
