triad,way,model,T,C_dev,quadrant
cg_v01,way1,cg,0.0000,0.0000,RUNTIME_CRASH
cg_v02,way1,cg,0.0000,0.0000,RUNTIME_CRASH
cg_v03,way1,cg,0.0000,0.0000,RUNTIME_CRASH
cg_v04,way1,cg,1.0000,1.0000,Q1_SURVIVOR
cg_v05,way1,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_drv01,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_drv02,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_drv03,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_drv05,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_sb01,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_sb02,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_sb03,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_sb05,way2,cg,1.0000,1.0000,Q1_SURVIVOR
cg_w2_seq01,way2,cg,0.0000,0.0000,RUNTIME_CRASH
cg_w2_seq02,way2,cg,0.0000,0.0000,RUNTIME_CRASH
cg_w2_seq03,way2,cg,0.0000,0.0000,RUNTIME_CRASH
cg_w2_seq05,way2,cg,1.0000,1.0000,Q1_SURVIVOR
gm_v01,way1,gm,0.0000,0.0000,RUNTIME_CRASH
gm_v02,way1,gm,0.0000,0.0000,RUNTIME_CRASH
gm_v03,way1,gm,1.0000,1.0000,Q1_SURVIVOR
gm_v04,way1,gm,0.0000,1.0000,Q3_FRAGILE
gm_v05,way1,gm,0.0000,0.0000,RUNTIME_CRASH
gm_w2_drv01,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_drv02,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_drv04,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_drv05,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_sb01,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_sb02,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_sb04,way2,gm,0.0000,1.0000,Q3_FRAGILE
gm_w2_sb05,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_seq01,way2,gm,0.0000,0.0000,RUNTIME_CRASH
gm_w2_seq02,way2,gm,0.0000,0.0000,RUNTIME_CRASH
gm_w2_seq04,way2,gm,1.0000,1.0000,Q1_SURVIVOR
gm_w2_seq05,way2,gm,0.0000,0.0000,RUNTIME_CRASH
qw_v01,way1,qw,0.0000,0.0000,COMPILE_FAIL
qw_v02,way1,qw,0.0000,0.0000,COMPILE_FAIL
qw_v03,way1,qw,0.0000,0.0000,COMPILE_FAIL
qw_v04,way1,qw,0.0000,0.0000,COMPILE_FAIL
qw_v05,way1,qw,0.0000,0.0000,COMPILE_FAIL
